Customer_ID,Contract,Tenure_in_Months,Monthly_Charge,Total_Revenue,Churn_Risk_Score
17488-PUN,Month-to-Month,5,75.65,396.35,0.8716769453672794
83187-UTT,Month-to-Month,7,70.5,418.08,0.864758735211205
22792-AND,Month-to-Month,34,94.1,752.89,0.8473898558094608
45324-TAM,Month-to-Month,14,84.6,1048.19,0.8304732596645731
64905-UTT,Month-to-Month,27,105.3,1479.17,0.8272860748036613
28574-UTT,Month-to-Month,7,80.85,595.65,0.8238200140314814
15154-MAD,Month-to-Month,11,94.75,936.67,0.8196146099439939
36369-MAH,Month-to-Month,13,75.85,790.53,0.8182243408283173
28033-ASS,Month-to-Month,20,84.05,1180.75,0.8130104323433521
99306-MAH,Month-to-Month,10,78.1,1184.7,0.8079905661072053
54718-MAH,Month-to-Month,32,79.75,830.12,0.805593471741173
49927-PUN,Month-to-Month,12,90.75,652.35,0.8034547057841548
56232-UTT,Month-to-Month,35,95.4,2810.5,0.801062261813905
93633-RAJ,Month-to-Month,26,86.2,987.44,0.7979653340454714
58571-GUJ,Month-to-Month,22,71.05,682.15,0.7908670328397491
86783-TEL,Month-to-Month,24,74.85,665.09,0.7877901179594933
16940-TAM,Month-to-Month,3,74.65,547.7,0.7873556858802447
36509-KAR,Month-to-Month,16,84.0,667.2,0.780326915667169
75858-HAR,Month-to-Month,31,75.35,740.84,0.780245074605082
41646-HAR,Month-to-Month,4,94.05,951.42,0.7789873886353501
81946-TAM,Month-to-Month,3,83.2,1286.45,0.7763699638403261
13717-UTT,Month-to-Month,26,68.95,444.75,0.7750117348300359
23983-MAH,Month-to-Month,34,85.5,895.2,0.7744998923648209
97843-TAM,Month-to-Month,11,75.6,509.0,0.7692394226408237
91093-BIH,Month-to-Month,32,96.55,695.75,0.7690780723484743
18813-BIH,Month-to-Month,2,95.6,1799.98,0.7684560398309337
47334-TEL,Month-to-Month,31,81.45,1044.48,0.7676989809242808
59786-WES,Month-to-Month,10,86.05,485.54,0.7659588948288091
33911-TEL,Month-to-Month,1,88.85,1257.05,0.7644582397895537
45376-TAM,Month-to-Month,9,73.5,770.6,0.7640820230670539
38217-AND,Month-to-Month,24,86.55,1401.9,0.7599612664103499
66654-AND,Month-to-Month,11,89.75,819.17,0.7577338423359617
16554-RAJ,Month-to-Month,15,75.2,717.28,0.7560452332096472
45174-DEL,Month-to-Month,11,44.05,257.1,0.750921266258816
21667-HAR,Month-to-Month,22,70.65,318.57,0.7498527415516335
49995-TEL,Month-to-Month,23,85.95,1595.38,0.7457527389450672
11510-KER,Month-to-Month,4,95.9,1104.65,0.7450549258897909
33228-AND,Month-to-Month,16,94.65,1629.15,0.7444687861854541
44561-MAD,Month-to-Month,25,94.55,1340.11,0.7442276354148547
76417-MAD,Month-to-Month,22,75.6,635.15,0.7439770077609736
74352-TAM,Month-to-Month,24,75.15,745.42,0.7434906817306028
55246-CHH,Month-to-Month,18,74.9,732.68,0.7433449686185225
26267-AND,Month-to-Month,11,69.85,707.67,0.7429147749541744
25869-BIH,Month-to-Month,7,95.6,3544.84,0.7412625845630688
12281-RAJ,Month-to-Month,25,78.1,1059.11,0.740616746812515
53924-KAR,Month-to-Month,6,19.85,90.52,0.7380509445988013
55869-ASS,Month-to-Month,36,76.25,997.6,0.7359683319462093
82324-KAR,Month-to-Month,25,69.1,546.9,0.7349182881613738
81498-TEL,Month-to-Month,1,105.35,1622.1,0.7334312796397581
84470-AND,Month-to-Month,27,105.3,773.85,0.7329080776179787
26458-TEL,Month-to-Month,4,93.5,2758.31,0.7307638743832662
74779-UTT,Month-to-Month,34,79.7,787.52,0.7293831587365521
85413-MAH,Month-to-Month,3,75.65,548.2,0.7289235458722335
32019-PUD,Month-to-Month,18,89.2,1110.75,0.728690428523382
77101-RAJ,Month-to-Month,33,85.95,758.44,0.7263661068771697
29218-WES,Month-to-Month,24,78.95,672.07,0.7260839311496463
88050-GUJ,Month-to-Month,15,76.6,1206.56,0.7256508723397372
77371-BIH,Month-to-Month,6,70.2,771.16,0.723794219080186
63117-BIH,Month-to-Month,27,69.8,608.85,0.7234735218275516
79425-GUJ,Month-to-Month,28,94.2,1104.62,0.7233094180323343
61904-KER,Month-to-Month,36,75.25,727.26,0.7218776688793563
26178-GUJ,Month-to-Month,23,80.2,628.55,0.7217636224788782
42918-PUN,Month-to-Month,13,75.55,2495.78,0.7208490455956746
95096-UTT,Month-to-Month,32,86.85,1713.36,0.7194096283659845
18081-TAM,Month-to-Month,7,79.95,1524.12,0.7177551045114265
96903-BIH,Month-to-Month,27,99.65,3021.17,0.7168251142050795
48059-AND,Month-to-Month,15,90.4,484.33,0.715970883578018
