Customer_ID,Contract,Tenure_in_Months,Monthly_Charge,Churn_Risk_Score
37131-MAH,Month-to-Month,2,89.25,0.9812086712760139
66868-HAR,Month-to-Month,10,70.25,0.9810951857047763
31129-AND,Month-to-Month,15,70.35,0.9810138523773835
55043-UTT,Month-to-Month,17,69.9,0.9807935470811537
52641-JHA,Month-to-Month,29,71.1,0.9799818836972298
94070-JAM,Month-to-Month,3,90.1,0.9764925917646847
39332-TEL,Month-to-Month,8,80.55,0.9755970506359065
99855-MAH,Month-to-Month,29,69.7,0.9747974772877211
73547-KAR,Month-to-Month,16,84.05,0.9733985897119004
84843-MAD,Month-to-Month,8,75.1,0.9722292814738381
24990-WES,Month-to-Month,24,71.65,0.9700698193597507
79777-MAH,Month-to-Month,33,72.6,0.9700376049078974
38920-PUN,Month-to-Month,7,43.85,0.969237697194654
28681-HAR,Month-to-Month,2,75.55,0.968626485770378
78253-GUJ,Month-to-Month,30,85.0,0.9685625390177726
16032-AND,Month-to-Month,18,46.6,0.9684964995626791
32563-KAR,Month-to-Month,22,69.8,0.968490688921468
44700-DEL,Month-to-Month,19,84.6,0.9670686050288918
75671-PUD,Month-to-Month,13,45.4,0.9665200319061489
96967-CHH,Month-to-Month,8,89.35,0.9657521576979707
84770-UTT,Month-to-Month,21,20.15,0.9656103106343361
33621-MAD,Month-to-Month,12,70.35,0.9651225058275031
43908-WES,Month-to-Month,25,70.35,0.9616637728231117
71509-HAR,Month-to-Month,27,54.65,0.9612576866352549
94124-MAH,Month-to-Month,8,79.95,0.960106985582968
95594-TAM,Month-to-Month,1,44.0,0.9575733796760879
34110-MAH,Month-to-Month,3,50.1,0.9572771094163228
36284-ODI,Month-to-Month,13,44.55,0.9572573687286985
82170-TAM,Month-to-Month,29,44.6,0.9564453448648328
91320-PUD,Month-to-Month,18,70.1,0.9563131659520391
68826-MAH,Month-to-Month,1,24.7,0.9559821493013034
79427-KAR,Month-to-Month,21,70.1,0.955580280941492
83080-HAR,Month-to-Month,4,70.15,0.9554352241941736
28782-PUN,Month-to-Month,7,44.95,0.9545170309018147
54997-UTT,Month-to-Month,23,44.0,0.9537286042015428
44202-TEL,Month-to-Month,14,69.95,0.9528222509282872
27465-JAM,Month-to-Month,30,19.85,0.9524405669542432
51751-KER,Month-to-Month,25,70.15,0.9522967456947081
83736-UTT,Month-to-Month,25,45.35,0.9520718409951926
25517-RAJ,Month-to-Month,10,91.45,0.9507885342792023
95822-AND,Month-to-Month,26,19.2,0.9505685931955246
28873-TAM,Month-to-Month,4,74.95,0.9498350076707256
34024-AND,Month-to-Month,21,20.05,0.9496109958665924
25763-JHA,Month-to-Month,3,44.15,0.9491695710682184
12469-AND,Month-to-Month,4,55.3,0.9481169946370986
85031-RAJ,Month-to-Month,4,44.0,0.9475461133372196
71234-HAR,Month-to-Month,34,19.4,0.947291131422305
67882-UTT,Month-to-Month,16,43.8,0.9470115571239961
81118-MAD,Month-to-Month,13,45.8,0.946811035481118
45771-KAR,Month-to-Month,7,44.45,0.9467889030262404
66669-HAR,Month-to-Month,32,44.05,0.946401700046365
87024-KAR,Month-to-Month,8,71.3,0.9458964050592448
77137-MAH,Month-to-Month,8,45.55,0.9449953101486197
41196-MAH,Month-to-Month,10,45.0,0.9448869978028969
46081-TAM,Month-to-Month,29,45.15,0.9437263612965879
82010-WES,Month-to-Month,7,79.55,0.9434330334983605
39128-PUN,Month-to-Month,22,44.75,0.9421572092708385
46730-ASS,Month-to-Month,4,74.75,0.9418885305821554
89303-AND,Month-to-Month,11,69.95,0.9404109076794538
41235-WES,Month-to-Month,10,44.8,0.938566188556875
74978-MAH,Month-to-Month,21,19.75,0.9382819193042703
83308-TAM,Month-to-Month,14,29.65,0.9382399100811927
59750-AND,Month-to-Month,4,74.9,0.938024823998867
68556-MAH,Month-to-Month,23,20.2,0.9378112320482277
46378-MAH,Month-to-Month,10,70.4,0.9377821707089705
